Season,ThreesAttemptedTotal
2000-01,32597
2001-02,35074
2002-03,34912
2003-04,35492
2004-05,38748
2005-06,39313
2006-07,41672
2007-08,44544
2008-09,44583
2009-10,44622
2010-11,44313
2011-12,36395
2012-13,49067
2013-14,52974
2014-15,55137
2015-16,59241
2016-17,66422
2017-18,71340
2018-19,78742
2019-20,72252
2020-21,74822
2021-22,86535
